epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
152,4690.86,1.05901,0.60251,0.90816,0.82202,0.68038,0.75199,0.43818,1.36272,0.75853,0.99283,0.0025255,0.0025255,0.0025255
153,4729.49,1.05634,0.59863,0.91186,0.82476,0.67982,0.75275,0.43724,1.36148,0.75819,0.99226,0.002476,0.002476,0.002476
154,4768.07,1.06142,0.60438,0.91244,0.82603,0.67825,0.75238,0.43729,1.36135,0.75751,0.9932,0.0024265,0.0024265,0.0024265
155,4805.98,1.05649,0.60125,0.91054,0.85142,0.66695,0.75323,0.43776,1.36347,0.75857,0.99362,0.002377,0.002377,0.002377
156,4844.12,1.04761,0.5915,0.91032,0.85577,0.6667,0.7519,0.43802,1.36228,0.75796,0.99256,0.0023275,0.0023275,0.0023275
157,4882.53,1.05563,0.59967,0.91207,0.86062,0.66706,0.75333,0.43858,1.36107,0.75991,0.99209,0.002278,0.002278,0.002278
158,4921.14,1.05035,0.59545,0.91124,0.8593,0.66574,0.75217,0.43923,1.35793,0.75999,0.9918,0.0022285,0.0022285,0.0022285
159,4959.73,1.04873,0.59188,0.91066,0.85839,0.66723,0.75323,0.43994,1.35873,0.75761,0.99144,0.002179,0.002179,0.002179
160,4999.51,1.04234,0.59092,0.90761,0.85845,0.66805,0.75388,0.44055,1.3598,0.75606,0.99159,0.0021295,0.0021295,0.0021295
161,5037.67,1.0432,0.58944,0.90967,0.85783,0.67017,0.75589,0.43993,1.36074,0.75582,0.99217,0.00208,0.00208,0.00208
162,5075.85,1.04114,0.59175,0.90583,0.85915,0.67,0.75498,0.44057,1.36113,0.75798,0.99176,0.0020305,0.0020305,0.0020305
163,5114.48,1.02867,0.58297,0.90232,0.85766,0.67114,0.75563,0.44073,1.35986,0.75575,0.99134,0.001981,0.001981,0.001981
164,5153.1,1.02954,0.58645,0.90608,0.84198,0.67796,0.75496,0.4402,1.35964,0.75544,0.99117,0.0019315,0.0019315,0.0019315
165,5191.34,1.01897,0.57612,0.90267,0.84132,0.68074,0.75684,0.44061,1.36095,0.75543,0.99102,0.001882,0.001882,0.001882
166,5230.01,1.01982,0.56989,0.90447,0.84339,0.67606,0.75619,0.44027,1.36077,0.75457,0.99134,0.0018325,0.0018325,0.0018325
167,5268.87,1.02699,0.58397,0.9023,0.84122,0.67904,0.75694,0.44167,1.36214,0.75373,0.99285,0.001783,0.001783,0.001783
168,5306.93,1.01344,0.56883,0.90124,0.8424,0.67851,0.75673,0.44159,1.36204,0.752,0.99272,0.0017335,0.0017335,0.0017335
169,5345.12,1.02411,0.5783,0.90365,0.84682,0.67359,0.75594,0.44162,1.36071,0.7513,0.99234,0.001684,0.001684,0.001684
170,5383.48,1.01173,0.56683,0.89813,0.84604,0.67319,0.7557,0.44149,1.35958,0.74976,0.99222,0.0016345,0.0016345,0.0016345
171,5421.61,1.02276,0.57445,0.90447,0.84636,0.67152,0.75572,0.44198,1.35887,0.74964,0.9918,0.001585,0.001585,0.001585
172,5460.18,1.00998,0.57225,0.89711,0.83726,0.67712,0.75622,0.44205,1.3573,0.74959,0.99153,0.0015355,0.0015355,0.0015355
173,5498.25,1.00155,0.55951,0.89664,0.83394,0.67885,0.75624,0.44169,1.3581,0.74943,0.99195,0.001486,0.001486,0.001486
174,5535.78,0.99989,0.55931,0.9008,0.83142,0.67986,0.75603,0.44144,1.35665,0.75018,0.99199,0.0014365,0.0014365,0.0014365
175,5573.79,1.00454,0.56231,0.8971,0.83281,0.67767,0.75544,0.44194,1.356,0.74947,0.99199,0.001387,0.001387,0.001387
176,5611.8,0.99794,0.56113,0.8953,0.84236,0.67418,0.75652,0.44246,1.35517,0.75088,0.99164,0.0013375,0.0013375,0.0013375
177,5650.76,0.99554,0.56037,0.89426,0.84766,0.67156,0.75669,0.44315,1.35599,0.74987,0.99159,0.001288,0.001288,0.001288
178,5690.52,1.00134,0.56535,0.89607,0.85461,0.66581,0.75572,0.44285,1.35617,0.74883,0.99125,0.0012385,0.0012385,0.0012385
179,5730.79,0.98199,0.55271,0.89003,0.85487,0.66546,0.75616,0.44348,1.35643,0.74917,0.99149,0.001189,0.001189,0.001189
